調合書①入門編	調合書②初級編	調合書③中級編	調合書④上級編	調合書⑤達人編
収納上手・技の書	収納上手・力の書	双眼鏡	回復薬	回復薬グレート
栄養剤	栄養剤グレート	解毒薬	活力剤	強走薬
強走薬グレート	鬼人薬	鬼人薬グレート	怪力の丸薬	硬化薬
硬化薬グレート	忍耐の丸薬	クーラードリンク	ホットドリンク	消散剤
千里眼の薬	漢方薬	秘薬	いにしえの秘薬	元気ドリンコ
生命の粉塵	生命の大粉塵	狩技ドリンク	増強剤	爆薬
生命の粉	捕獲用麻酔薬	ユクモ温泉たまご	タンジアチップス	力の護符
力の爪	守りの護符	守りの爪	肉焼きセット	生肉
毒生肉	シビレ生肉	眠り生肉	生焼け肉	こんがり肉
コゲ肉	クーラーミート	ホットミート	モスジャーキー	キングミート
砥石	ボロピッケル	ピッケル	ピッケルグレート	ボロ虫あみ
虫あみ	虫あみグレート	ブーメラン	投げナイフ	毒投げナイフ
眠り投げナイフ	麻痺投げナイフ	捕獲用麻酔ナイフ	素材玉	ペイントボール
閃光玉	音爆弾	捕獲用麻酔玉	消臭玉	けむり玉
毒けむり玉		モドリ玉	こやし玉	モンスターのフン	トラップツール
クモの巣	ネット	落とし穴	シビレ罠	タルの蓋
小タル	大タル	小タル爆弾		大タル爆弾		大タル爆弾Ｇ
打上げタル爆弾	打上げタル爆弾Ｇ	アイテム非選択	会心の刃薬	重撃の刃薬
減気の刃薬	心眼の刃薬	カラの実	カラ骨	LV1通常弾
LV2通常弾		LV3通常弾		LV1貫通弾		LV2貫通弾		LV3貫通弾
LV1散弾	LV2散弾	LV3散弾	LV1徹甲榴弾	LV2徹甲榴弾
LV3徹甲榴弾	LV1拡散弾		LV2拡散弾		LV3拡散弾		LV1火炎弾
LV1水冷弾		LV1電撃弾		LV1氷結弾	LV1滅龍弾		LV1毒弾
LV2毒弾		LV1麻痺弾		LV2麻痺弾	LV1睡眠弾		LV2睡眠弾
LV1減気弾		LV2減気弾		LV1回復弾	LV2回復弾	ペイント弾
捕獲用麻酔弾	LV1通常弾(内藏)
LV2通常弾(内藏)	LV3通常弾(内藏)	LV1貫通弾(内藏)	LV2貫通弾(内藏)	LV3貫通弾(内藏)
LV1散弾(内藏)	LV2散弾(内藏)	LV3散弾(内藏)	LV1徹甲榴弾(内藏)	LV2徹甲榴弾(内藏)
LV3徹甲榴弾(内藏)	LV1拡散弾(内藏)		LV2拡散弾(内藏)		LV3拡散弾(内藏)	LV1火炎弾(内藏)
LV1水冷弾(内藏)		LV1電撃弾(内藏)		LV1氷結弾(内藏)	LV1滅龍弾(内藏)		LV1毒弾(内藏)
LV2毒弾(内藏)		LV1麻痺弾(内藏)		LV2麻痺弾(内藏)	LV1睡眠弾(内藏)		LV2睡眠弾(内藏)
LV1減気弾(内藏)		LV2減気弾(内藏)		LV1回復弾(内藏)	LV2回復弾(内藏)	ペイント弾(内藏)
捕獲用麻酔弾(内藏)	ツブテ弾	竜撃弾	LV1斬裂弾	LV2斬裂弾
LV1爆破弾		LV2爆破弾		鬼人弾	鬼人会心弾	硬化弾
硬化強靭弾		LV1強装弾		LV2強装弾		LV1重撃弾		LV2重撃弾
痛撃弾	LV2火炎弾		LV2水冷弾	LV2電撃弾		LV2氷結弾
LV2滅龍弾		LV1貫通火炎弾	LV2貫通火炎弾	LV1貫通水冷弾	LV2貫通水冷弾
LV1貫通電撃弾	LV2貫通電撃弾	LV1貫通氷結弾	LV2貫通氷結弾	LV1大砲弾
LV2大砲弾		LV1遠撃弾		LV2遠撃弾		連爆榴弾	榴散弾
烈光弾	毒煙弾	閃光弾	こやし弾	治癒活力弾
広域回復弾	鬼人硬化弾	RAPID	ビン無し	空きビン
LV1強撃ビン	LV2強撃ビン	LV1属性強化ビン	LV2属性強化ビン	接撃ビン
毒ビン	麻痺ビン	睡眠ビン	減気ビン	爆破ビン
ペイントビン	養虫エキス	超養虫エキス	力の成長餌	重の成長餌
速の成長餌	火の蜜餌	水の蜜餌	雷の蜜餌	氷の蜜餌
龍の蜜餌	力の上成長餌	重の上成長餌	速の上成長餌	力の特上成長餌
重の特上成長餌	速の特上成長餌	火炎の蜜餌	流水の蜜餌	雷光の蜜餌
氷結の蜜餌	破龍の蜜餌	鎮火の蜜餌	断水の蜜餌	絶雷の蜜餌
砕氷の蜜餌	滅龍の蜜餌	マキモドシの蜜餌	マカ錬金タル	レンキンフード
レンキン活力剤	レンキン耳栓	レンキンフエール	レンキン気合玉	レンキン狩技砥石
レンキン狩技弾	レンキン狩技ビン	レンキン音波爆弾	レンキン速振薬	レンキンバズーカ
レンキン癒しタル	釣りミミズ	釣りフィーバエ	釣りカエル	サシミダンゴ
バクダンゴ	黄金ダンゴ	角笛	回復笛	解毒笛
鬼人笛	硬化笛	もえないゴミ	ハチミツ	薬草
げどく草	火薬草	ツタの葉	ネムリ草	ネンチャク草
マタタビ	落陽草の根	トウガラシ	霜ふり草	特産キノコキムチ
氷結晶イチゴ	キングサボテン	ドスビスカス	オオモロコシ	星見の花
七色たんぽぽ	龍神カズラ	大龍神カズラ	アオキノコ	ニトロダケ
マヒダケ	毒テングダケ	クタビレタケ	ドキドキノコ	マンドラゴラ
混沌茸	オオマヒシメジ	コシカケダケ	ペイントの実	怪力の種
忍耐の種	ウチケシの実	龍殺しの実	はじけクルミ	ハリの実
ツラヌキの実	カクサンの実	ペピポパンプキン	オオ筒ドングリ	トンガリドングリ
ユクモの木	ユクモの堅木	ユクモの重木	石ころ	鉄鉱石
大地の結晶	マカライト鉱石	円盤石	氷結晶	ベアライト石
ライトクリスタル	ドラグライト鉱石	紅蓮石	真紅蓮石	溶岩塊
カブレライト鉱石	エルトライト鉱石	メランジェ鉱石	ノヴァクリスタル	ピュアクリスタル
ユニオン鉱石	獄炎石	虹色鉱石	ちいさな研精石	高密度の研精石
アルティマ結晶	水光原珠	陽翔原珠	修羅原珠	瑠璃原珠
金剛原珠	明王原珠	鎧石	鎧玉	上鎧玉
尖鎧玉	堅鎧玉	重鎧玉	王鎧玉	真鎧玉
なぞのお守り	光るお守り	古びたお守り	風化したお守り	さびた塊
太古の塊	生焼け魚	コゲ魚	こんがり魚	キレアジ
サシミウオ	眠魚	ハリマグロ	カジキマグロ	はじけイワシ
カクサンデメキン	ハレツアロワナ	バクレツアロワナ	大食いマグロ	ドス大食いマグロ
古代魚	小金魚	シンドイワシ	イチノタチウオ	うなりうねり貝
ヨロイシダイ	古代鮫の皮	春夜鯉	オオシッポガエル	金剛魚
虫の死骸	不死虫	にが虫	光蟲	雷光虫
ボンバッタ	ツチハチノコ	セッチャクロアリ	キラビートル	ドスヘラクレス
超電雷光虫	王族カナブン	マレコガネ	ハナスズムシ	オオツノアゲハ
オオクワアゲハ	オオナナホシ	皇帝バッタ	マボロシチョウ	冥カイコ
毒クモリ	オオ毒クモリ	オオゲキ毒クモリ	蝕龍蟲	竜骨【小】
竜骨【中】	竜骨【大】	なぞの骨	なぞの頭骨	なぞの巨骨
上竜骨	尖竜骨	堅竜骨	強竜骨	重竜骨
古龍骨	太古龍骨	上質な鳥竜骨	堅牢な鳥竜骨	草食種の大重骨
獣骨	大きな骨	堅牢な骨	重厚な骨	いにしえの龍骨
いにしえの巨龍骨	異形の骨	異形の堅骨	異形の重骨	竜の牙
竜の爪	とがった爪	鋭利な爪	とがった牙	重厚な牙
鳥竜玉	幻鳥竜玉	竜玉	大竜玉	古龍の血
古龍の浄血	古龍の浄濃血	古龍の大宝玉	鋼のたまご	銀のたまご
金のたまご	プラチナのたまご	フエールピッケル	鳴き袋	毒袋
猛毒袋	劇烈毒袋	麻痺袋	強力麻痺袋	濃縮麻痺袋
睡眠袋	昏睡袋	卒倒昏睡袋	火炎袋	爆炎袋
業炎袋	電気袋	電撃袋	雷電袋	凍結袋
瞬間凍結袋	水袋	大水袋	特大水袋	狂走エキス
アルビノエキス	獰猛化エキス	獰猛化濃縮エキス	獰猛な牙	獰猛な鋭牙
獰猛な重牙	獰猛な重鋭牙	獰猛な重剛牙	獰猛な爪	獰猛な尖爪
獰猛な重爪	獰猛な重尖爪	獰猛な重剛爪	獰猛な竜骨	獰猛な強竜骨
獰猛な重竜骨	獰猛な尖角	獰猛な剛角	獰猛な火炎袋	獰猛な業炎袋
獰猛な炎鱗	獰猛な獄炎鱗	獰猛な水袋	獰猛な特大水袋	獰猛な体液
